stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,10.7,0,0,0,11.77,0,4.28,0,0,0,0,0
21Day,1.34,2.68,0,0,0,0,0,0,0,1.34,0,0,0,14.72,0,0,0,4.02,0,8.03,0,0,2.68,0,0
3Month,0,0.32,0.32,3.84,0.32,0,0.96,50.55,1.28,0.32,1.28,0.96,1.28,4.16,0,0.64,0.64,0,0,0,0.64,0.64,0,0.32,0.64
22Month,0,2.19,0,0.55,0,0.55,2.73,21.32,0.55,0,1.64,0.55,0.55,1.09,1.09,0,0,0,0.55,0,0,0,0,0,0
