stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,55.63,13.91,0,0,0,4.28,0,0,2.14,0,3.21,0,0,0,0
21Day,2.68,2.68,0,16.06,1.34,0,0,0,0,0,1.34,0,0,4.02,0,2.68,1.34,10.71,0,0,0,93.7,4.02,0,0,0,4.02,0,0,0,12.05,12.05,0,0,0,1.34
3Month,0.32,9.6,0.32,7.36,0,0,0.32,2.24,3.52,0,12.8,2.56,3.84,1.6,0.64,1.6,2.24,3.52,0,0.64,0.64,8,0,0.32,0.64,0,0,0.64,2.88,0.32,0,0,0,0.96,0.64,0.96
22Month,0,16.4,1.09,7.11,0,0.55,0,0.55,7.65,2.19,48.65,3.28,14.76,7.11,1.09,1.09,6.56,7.65,2.19,1.64,0,28.97,1.09,1.64,1.64,0.55,0,1.09,1.09,1.64,2.73,0,0.55,0,0,2.19
