stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,5.35,0,0,0,0,0,0,0,0,0,0
21Day,2.68,1.34,8.03,1.34,0,0,0,0,0,5.35,1.34,0,2.68,9.37,0,0,0,0,1.34,0,0,0,0,0
3Month,0,0,21.44,0,0.32,0.32,0.64,1.28,0.32,8,3.52,0.64,0.64,0,0.32,0.32,0.64,0,0,0,0.96,0,0.32,0
22Month,0,1.09,2.19,0,0,0.55,4.37,0,0,1.09,3.83,0,0,0,0,0,0.55,0.55,0,0.55,0,0.55,0,0.55
