stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0
72hpf,1.07,1.07,1.07,0,0,0,0,0,0,1.07,0,1.07,0,0,14.98,2.14,0,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02,10.71,2.68,0,1.34,0,0
3Month,0,1.28,1.28,0.32,0.32,0.64,1.6,0,0.32,3.2,0,0.32,0,0,0,0,0.32,0,0,0.32
22Month,0,0,0.55,0,0,2.19,7.11,0.55,0,0,0.55,0,0.55,0,0,0.55,1.09,0,0,0
