stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35,1.07,0,1.07,0,1.07,0,0,2.14
21Day,1.34,0,0,1.34,1.34,0,0,0,1.34,0,1.34,0,1.34,1.34,0,1.34,0,0,0,9.37,0,1.34,0,0,0,0,0,2.68
3Month,0,0.32,0.32,16,0,0.32,0.32,0,18.24,0.96,0,2.24,0,0.64,0.96,0.64,0,0.32,0.32,0.32,0,0.32,0,0,0,0.96,0.96,0
22Month,0,0,0,3.28,0,0,0.55,0.55,11.48,0,0,2.73,0,0,0,0,0.55,0,0,0,0,0,0,0.55,0,0,0,0.55
