stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,11.77,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,14.72,0,0,0,0,0,0,0,0,0,1.34,0,16.06,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,26.24,0,0,0,0.32,1.6,2.56,0,10.24,0.96,6.4,1.6,1.6,2.24,1.92,0.32,0,0.64,0.64,0,0.64,0.64,0,0,0,1.28,0.96,0.32,0,0.32,1.28
22Month,1.09,4.92,0,0.55,0.55,0,1.09,2.73,1.09,28.97,1.64,7.11,0,0,2.73,2.19,0,1.09,0.55,0,1.64,0,0.55,0.55,0.55,0,0,0,0.55,0.55,0,2.19
