stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,2.14,0,0,0,0,1.07,0,0,0,2.14,1.07,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,1.34,0,1.34,0,0,0,0,1.34,5.35,0,0,0,1.34,5.35,0,0,0,0,0,0
3Month,0,0.32,5.12,0,0.32,0.64,0.64,0,4.16,0.64,0,0.96,0.32,0,0.64,1.28,8.64,0,0.32,0.32,0,0.32,0.64,0,0,0.32,7.04,0,0,0.64,0.32,0.32,0.32
22Month,0.55,1.09,10.39,0.55,0.55,2.19,7.65,3.28,31.71,2.73,1.09,4.37,1.09,0.55,2.73,6.56,2.19,1.64,3.28,0.55,0.55,0,0.55,321.98,0.55,0,7.65,0.55,0.55,0,0,0,0
