stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,16.35,4.09,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,4.28,0,8.56,0,0,0,0,0,0,3.21,3.21,0,0,0,3.21,0,0
21Day,0,0,2.68,1.34,0,0,0,0,29.45,0,9.37,0,1.34,1.34,0,0,0,0,1.34,0,1.34,1.34,1.34,0,1.34
3Month,0,0,1.6,0,0.32,0,0.64,0,1.6,0.64,2.56,0.32,1.6,0.32,0,0,0.32,0,0,0,2.56,0.64,0,0.96,13.44
22Month,0,0.55,0.55,0,0,2.73,13.67,0.55,0.55,0,4.37,0.55,1.64,1.64,0.55,0.55,0,0,0,0,0.55,8.2,0.55,0.55,19.13
