stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,3.21,0,0,0,0,0,0,6.42,22.47,0,1.07,0,0,0,0,3.21,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,5.35,0,1.34,0,0,0,0,0,0,9.37,14.72,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0
3Month,0.96,0,39.03,0.32,0,0,0,0,3.84,1.28,3.52,26.88,3.52,1.6,1.92,0.32,0,29.12,0.64,3.2,0,0.64,0,1.28,2.56,0,0,1.28,1.6,0.32
22Month,2.19,1.09,39.91,0,0,1.09,2.73,1.64,58.49,0,2.73,15.31,7.65,4.37,4.37,0,1.09,2.73,0,4.37,0,2.19,0.55,0,0.55,2.73,0.55,0,0,0
