stage,Epithelial_cell,Erythrocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Osteoblast,Primordial_germ_cell
24hpf,4.09,0,0,0,4.09,0,0,0
72hpf,0,0,0,1.07,0,0,1.07,0
21Day,4.02,1.34,1.34,0,0,1.34,0,1.34
