stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
21Day,0,2.68,0,0,0,0,5.35,0,0,0,0,0,0,0,1.34,0,0,0,0
3Month,0,0,0,0,0,0.32,0,0,0,1.6,0,0,0,0,0,0,0.64,0.32,0
22Month,1.64,0,0.55,0.55,20.77,16.4,5.47,0.55,1.09,209.37,2.19,1.09,0.55,0.55,0,0.55,0,0,57.95
