stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,2.14,0,10.7,2.14,1.07,0,1.07,0
21Day,0,0,0,0,0,0,0,0,0,1.34,1.34,0,6.69,0,0,0,0,0
3Month,0,0.32,0,0.32,0.64,0,0,0.64,0.64,0,0,0.32,0,0,0,0.32,0,0.32
22Month,0,0,0,0.55,9.29,1.09,1.09,0,0,0.55,0.55,0,0,0,0,0,0,0
