stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3Month,3.84,4.16,2.56,0,0.32,3.84,0.32,0.96,0.32,0,5.44,0.32,0,0.32,0.96,0.32,2.24
22Month,2.73,8.75,0,0.55,0,0.55,1.64,1.09,0,0.55,0.55,0,0,0.55,0.55,0,0
