stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,24.52,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,196.15,0,0,0,0,8.17,155.28,0,0,0,65.38,0,0,0,0,8.17,0,0,0
72hpf,60.98,1.07,0,21.4,10.7,11.77,0,0,0,0,0,0,0,0,0,1.07,5.35,1.07,512.43,0,1.07,4.28,1.07,46,38.51,0,0,0,558.43,0,1.07,5.35,0,6.42,0,0,0
21Day,74.96,9.37,0,5.35,0,21.42,0,1.34,0,0,0,4.02,1.34,5.35,4.02,0,10.71,0,659.9,0,0,105.74,0,10.71,2.68,0,0,0,262.35,17.4,2.68,0,5.35,10.71,0,0,1.34
3Month,3.84,15.68,0.96,8.64,0,0,1.92,0,0.32,1.28,11.2,13.44,2.56,0.32,5.12,0.32,2.56,5.12,358.34,123.5,0,4.8,0.96,1.28,0.32,0.96,0.64,0,8.96,3.2,24,0.32,0,0.32,0.96,1.92,2.24
22Month,1.09,6.01,0.55,4.92,0,0,2.19,0,0,0,6.01,31.71,1.09,0,3.28,0,1.09,1.64,314.87,13.67,0.55,27.33,0,2.73,0.55,0,2.19,1.64,8.2,0,48.11,0.55,0,0,0.55,0,2.19
