stage,Epithelial_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,1.07,0,0
3Month,0.32,0.32,0.32,0.64,0.32,0.32,6.08,3.2,1.28
