stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cell
72hpf,0,0,0,0,0,1.07,1.07,1.07,0,1.07
21Day,0,0,0,1.34,0,0,0,1.34,0,0
3Month,0.32,6.4,0.64,0,0.32,0,0,0,0.32,0
22Month,0,0.55,1.09,0,0,0,0,0,0,0
