stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia
24hpf,0,32.69,0,0,0,0,4.09,4.09,44.95,0,16.35,322.83,4.09,0
72hpf,0,1.07,1.07,0,0,1.07,3.21,1.07,5.35,6.42,2.14,6.42,2.14,2.14
21Day,2.68,1.34,0,1.34,1.34,0,0,1.34,8.03,0,0,0,4.02,0
