stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,0
72hpf,0,0,0,0,0,1.07,1.07,0,0,1.07,0,0
21Day,1.34,0,0,0,0,0,2.68,0,1.34,0,1.34,0
22Month,0,0.55,1.64,0.55,6.01,0,1.09,0.55,0,0,0,2.73
