stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,1.07,2.14,0,3.21,0,0,0,0,14.98,10.7,0,3.21,0,0,0,1.07,0,0,0
21Day,2.68,0,6.69,2.68,0,0,0,0,1.34,0,0,2.68,0,2.68,0,0,0,0,8.03,5.35,0,4.02,1.34,0,1.34,0,0,0,0
3Month,0,2.88,4.48,0,1.28,1.28,0,4.8,0.64,8,0.64,1.6,1.28,2.24,0.32,0,0,0.32,0,0.32,0.32,0,0.64,4.48,0,0,0.64,2.88,0.64
22Month,0,2.19,3.83,0,0.55,2.19,0.55,13.12,0.55,7.65,0,0,0,1.09,0,0.55,0.55,0,0,0,1.64,0,0,1.64,0,0.55,0,0,1.09
