stage,Epithelial_cell,Erythrocyte,Hepatocyte,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,4.09,0,0,0,4.09,4.09,0,0,0,0,0
72hpf,0,2.14,0,0,2.14,4.28,0,1.07,0,1.07,0
21Day,0,0,0,0,0,0,0,1.34,0,0,0
3Month,0.32,0,0.32,0.32,0,0,0.32,0,0.32,0,0.32
