stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,4.09,0,0,0,0,0,0,0,0,4.09,0,0,12.26,0,81.73,997.08,0,4.09,0,0,0,0,0,0,0
72hpf,6.42,0,1.07,0,4.28,2.14,0,0,0,0,0,0,0,13.91,0,3.21,0,277.08,149.77,0,4.28,0,0,6.42,0,1.07,0,0
21Day,1.34,1.34,10.71,0,8.03,0,1.34,0,1.34,0,1.34,2.68,0,5.35,4.02,12.05,0,321.25,153.93,1.34,4.02,12.05,0,10.71,1.34,1.34,0,0
3Month,0,0.32,1.28,0,0,0,0.32,0,3.52,0.64,0,0.32,0,0,0.32,0,0,2.24,0,0,0,0,17.6,0.32,0,0,7.36,0
22Month,0,0,2.19,0,0,0,0.55,2.19,3.83,0.55,0.55,1.09,0,0,1.09,0.55,1.09,3.83,2.73,1.09,0,0,16.95,1.64,0,0,0,0.55
