stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0
21Day,0,1.34,2.68,0,0,0,0,0,0,0,2.68,0,2.68,0
3Month,1.6,0,0,0,0,1.92,0,0.32,2.56,1.28,0,1.28,0,0.32
22Month,0,0,0,0.55,1.09,7.65,1.09,0,0,3.28,0,0,0.55,0
