stage,Hepatocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_cell
24hpf,0,4.09,0,4.09,4.09,0,0
72hpf,0,0,0,1.07,1.07,0,1.07
21Day,0,1.34,0,2.68,0,0,0
3Month,0.64,0,0,0,0,0,0
22Month,0,0,0.55,0,0,0.55,0
