stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,13.91,0,0,0,0,0,0,0,0,2.14,67.4,38.51,2.14,0,0,0,4.28,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,32.12,4.02,0,0,0,0,0,0,0,4.02,26.77,38.82,0,0,1.34,0,0,0,0,5.35,2.68,0,1.34,1.34,0,0,0
3Month,0,0.64,49.59,0,0.32,0.64,1.6,0,2.56,1.6,1.6,1.6,2.88,47.99,3.84,0,0,6.72,0,0.32,0.96,0,0.32,1.6,0,0,1.6,0.64,0.64
22Month,0,0,23.51,0,0,0.55,2.73,15.31,8.75,1.09,0.55,1.09,1.09,30.07,9.29,0.55,0,1.64,0.55,0,0,0,0,0.55,0,0,0,0,0
