stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Spermatocyte
72hpf,1.07,2.14,0,0,0,1.07,1.07,0,4.28,0
21Day,1.34,6.69,1.34,1.34,0,2.68,0,1.34,4.02,0
3Month,0,1.6,0,0,0.32,0.32,0.64,0.32,0,0.32
