stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,212.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,146.56,0,1.07,0,0,0,0,0,0,0,0,0,2.14,176.52,1.07,26.74,0,2.14,0,0,18.19,4.28,0,0,0,93.07,0,0,1.07,0,0,0,0,0
21Day,1.34,0,1.34,129.84,2.68,1.34,0,0,0,1.34,0,1.34,0,1.34,0,0,108.42,0,66.93,0,0,0,0,4.02,2.68,0,0,0,204.8,10.71,0,0,1.34,0,1.34,0,2.68
3Month,0,1.28,0,71.99,0,0,0.32,3.2,0.64,5.44,0,15.36,2.88,0,1.6,0.64,67.51,2.88,205.73,22.72,0,1.28,0.64,0,0,0.32,0,0,0.96,0.96,1.6,0,0,0.32,4.16,3.2,2.56
22Month,0,1.09,1.09,9.29,0,0,2.73,0,1.64,8.75,0.55,39.36,2.19,1.64,2.73,0.55,10.93,1.64,253.65,4.37,0,2.73,0,0.55,0,0.55,1.09,1.64,0,0,3.83,1.09,0,0,0,0,1.09
