stage,Cardiomyocyte,Endothelial_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,0,4.09,24.52
72hpf,0,1.07,1.07,1.07,2.14,2.14
21Day,0,0,0,0,1.34,2.68
