stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,8.17,0,0,0,0,20.43,134.85,4.09,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,5.35,4.28,0,0,0,0,0,0,0,0,0,0,1.07,5.35,0,3.21,0,0,0,0,81.3,27.81,0,0,0,13.91,0,1.07,2.14,1.07,0,0,0,0
21Day,2.68,0,10.71,4.02,0,2.68,0,0,0,0,1.34,0,6.69,0,0,4.02,2.68,9.37,0,0,1.34,0,16.06,14.72,1.34,0,0,2.68,1.34,2.68,0,0,1.34,0,0,1.34
3Month,0.32,1.92,17.28,0,0,0.32,0,1.28,1.6,0,27.2,2.24,1.28,5.12,2.24,4.8,2.88,11.52,2.56,0,0.64,1.6,0.64,0,0.32,0.64,0,0,1.92,32.95,0.32,0,0,2.24,36.47,4.48
22Month,0.55,3.28,5.47,0,0.55,0,0.55,0,2.19,0.55,62.87,4.92,2.19,10.39,0,2.19,1.64,12.03,1.09,1.09,0.55,0,0.55,0,0,1.09,0.55,0,0,14.21,0.55,0,0,0,0,3.28
