stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,16.35,0,4.09,0,0,0,0,0,4.09,0,0,0,0,4.09,12.26,8.17,24.52,0,0,0,0,16.35,138.94,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,2.14,4.28,0,4.28,1.07,10.7,0,0,0,0,0,0,0,0,0,0,2.14,29.95,1.07,11.77,0,0,0,0,56.7,21.4,0,2.14,0,5.35,2.14,0,0,6.42,2.14,0,0,0
21Day,8.03,0,1.34,20.08,1.34,16.06,2.68,0,0,0,0,0,1.34,0,0,2.68,4.02,12.05,2.68,10.71,0,0,2.68,0,17.4,6.69,1.34,1.34,0,8.03,1.34,0,2.68,2.68,0,0,0,1.34
3Month,0.96,1.92,0,22.4,0,0,0.32,0.32,0.32,2.88,0,0,36.47,3.84,1.28,6.72,1.28,7.04,4.48,5.44,1.6,0,0.96,1.28,0,0,0.32,1.6,0,0,0.64,0.32,4.8,0.96,0,1.92,0.64,4.16
22Month,0.55,1.09,0,6.01,0,0,0,0,1.64,10.39,1.64,0,60.13,2.73,1.64,8.75,0,1.09,4.92,6.56,0.55,1.64,1.09,0,0,0,0.55,1.64,0.55,0,0.55,0,0.55,0,0,0.55,0,1.09
