stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,20.43,0,0,0,0,0
72hpf,2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,12.84,1.07,1.07,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,2.68,0,0,0,0,0
3Month,0,0,0,1.92,0.32,0.32,0,0.32,3.52,0,2.88,1.28,1.6,0.32,0.32,0.32,4.16,1.92,0,0.32,48.31,0,0.96,0.32,0,0.32,6.08
22Month,0,0.55,0.55,1.09,0,1.64,1.09,0,9.84,0.55,31.71,7.11,4.92,2.73,0.55,1.09,9.29,0.55,2.19,1.09,11.48,0,2.19,0,0.55,0,3.83
