stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,143.02,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,1.07,0,0,0,1.07,3.21,0,4.28,0,0,0,0,40.65,42.79,1.07,3.21,0,0,7.49,0,0
21Day,1.34,0,2.68,0,0,0,0,0,0,1.34,0,1.34,0,1.34,4.02,0,0,0,0,10.71,29.45,0,1.34,0,0,1.34,0,0
3Month,0,0,2.56,0,0,0.32,0.32,13.44,0.32,0.32,0.96,0.64,0.96,0.64,1.28,0,0.32,0,0.32,0,0,0,0,0.64,1.28,0.32,0.32,0.64
22Month,0,0.55,2.19,0,0,0,0,42.64,0,0,3.28,0,0,0.55,1.09,0.55,1.09,0.55,0,0,0,0,0,0,0.55,0,0,0
