stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Nephron_cell,T_cell
72hpf,0,0,0,0,0,0,0,1.07,0,0,0
3Month,1.92,0.32,0.32,16.96,0.96,1.28,0.32,0.96,0.32,0.64,0.96
22Month,0,0.55,0,1.64,0,1.09,0,0,0,0,0
