stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
3Month,0,0,0.32,0,1.28,6.4,0.96,0.64,0.32,0.32,8.96,0.64,0,0.32,0.32,1.92,1.28,2.24
22Month,0.55,0.55,0.55,0.55,1.09,172.2,1.64,0,0.55,0,20.23,1.09,0.55,0,0,0,0,0
