stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,4.02,0,0,4.02,0,2.68,0,0,0,0,0,0,0
3Month,1.6,0.32,33.91,1.92,4.16,0.96,0.64,27.84,0.64,0.32,0.32,1.28,0.32,0.32,1.92
22Month,0,0,13.67,0,0,3.28,0,6.56,0,0,0,0,0,0,0.55
