stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,89.9,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,0,0,9.63,0,0,0,0,0,0,0,0,0,94.14,1.07,12.84,1.07,1.07,4.28,0,1.07,0,0,0
21Day,0,0,0,25.43,2.68,0,0,0,0,0,1.34,0,1.34,100.39,1.34,5.35,1.34,1.34,1.34,0,0,0,0,0
3Month,0,0,0.32,23.04,0,0.32,0.32,0.32,1.6,0.32,0,0.64,0,3.2,0.32,0.32,0,0.32,0,0.64,0,0.32,0.96,0.32
22Month,0,0.55,0,0.55,0,0,0,0,3.28,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0
