stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,0,0,187.97,4.09,0,0,0,0,0,0,0,4.09,4.09,0,53.12,0,0,0,0,16.35,1528.32,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,12.84,0,0,18.19,3.21,0,0,0,0,0,0,0,10.7,10.7,2.14,18.19,0,1.07,0,0,143.35,32.09,2.14,0,48.14,0,0,3.21,0,0,0,0,0,0
21Day,10.71,0,4.02,20.08,2.68,0,1.34,0,0,0,0,0,0,5.35,4.02,131.18,0,0,1.34,0,14.72,5.35,0,1.34,100.39,2.68,0,1.34,0,2.68,1.34,0,0,0
3Month,0,0.32,9.6,12.16,0,0,6.08,2.88,5.44,0.96,0.32,1.28,0.32,5.12,0.96,82.23,1.6,0,2.56,0.32,0,0,2.56,0,0,0.64,3.2,0.64,0,0,0,0.64,3.52,0.96
22Month,0,2.73,10.93,8.75,0,1.09,8.75,1.09,20.23,0,0.55,0.55,0.55,2.19,3.28,107.14,0,0.55,1.09,0,0,0,0.55,0.55,0,0,4.92,0.55,0.55,0,0,0,0,1.09
