stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,28.6,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,1.07,0,3.21,0,2.14,0,0,0,0,0,0,0,2.14,5.35,1.07,5.35,0,0,1.07,770.25,72.75,3.21,0,12.84,0,0,8.56,0,2.14,2.14,0,0,0
21Day,4.02,0,1.34,14.72,1.34,8.03,0,0,0,0,0,2.68,0,2.68,5.35,0,12.05,0,0,0,247.63,14.72,0,1.34,2.68,4.02,0,2.68,1.34,6.69,1.34,0,0,9.37
3Month,0,0.64,0,4.48,0.32,0,0.64,0.32,9.6,4.48,4.48,0,0.64,2.56,0.32,5.44,0.64,0.64,0,1.28,3.52,0.32,1.6,0,0,0,6.4,0,0,0,0,0.64,2.56,1.6
22Month,0.55,2.73,1.64,8.2,0,0,0,0,17.49,12.03,3.83,2.73,2.19,0.55,0,18.59,2.19,0,0.55,0.55,7.65,0.55,1.64,0.55,0,0.55,1.64,3.28,0,0,0,0,0,0.55
