stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.12,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
72hpf,1.07,3.21,4.28,0,9.63,0,0,0,0,0,0,0,0,0,2.14,0,3.21,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0
21Day,0,0,16.06,0,25.43,0,10.71,0,5.35,0,0,0,21.42,0,8.03,4.02,38.82,16.06,0,0,2.68,0,25.43,1.34,0,4.02,0,1.34,0,0,10.71
3Month,0.32,1.92,19.84,0.32,0,0.96,1.6,0.96,20.48,0,8.64,19.2,4.48,0.64,1.6,8.64,41.91,3.52,0.32,0,1.92,7.68,0.96,0,0.96,0.64,1.28,0,0.64,1.6,29.76
22Month,0,2.19,18.04,0,0,0.55,1.09,0.55,37.17,7.11,16.95,20.23,8.75,1.64,0.55,4.92,35.53,4.92,0,1.09,3.83,1.09,0,0,0.55,1.09,0.55,0,0,0,24.05
