stage,Epithelial_cell,Hepatocyte,Macrophage,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,1.07,0,0,0
3Month,0.64,0.64,0.32,0,0.32,1.28,33.27
