stage,Cardiomyocyte,Epithelial_cell,Granulocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Neural_cell,Neural_progenitor_cell,Spermatocyte
72hpf,1.07,0,0,0,0,0,1.07,0,0,1.07,2.14,0
21Day,0,2.68,0,0,0,0,0,0,1.34,1.34,0,0
3Month,0,1.28,0.64,0,0.96,0.32,0.64,0,0,0,0,0.32
22Month,0,0,3.83,1.09,0.55,0,0,0.55,0,0,0,0
