stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,4.09,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,1.07,1.07,1.07,4.28,0,0,1.07,0
21Day,0,0,0,1.34,0,1.34,1.34,0,0,0
3Month,0,1.28,0,0.32,0,0,0,0.64,0,0.32
