stage,Cardiomyocyte,Enterocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0
21Day,1.34,0,0,0,0,0
3Month,0,0.32,0,0.32,0.64,0.32
