stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,4.09,0,8.17,40.86,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,2.14,0,0,0,0,1.07,2.14,2.14,3.21,1.07,200.05,161.54,0,3.21,0,0,1.07,4.28,1.07,0,0
21Day,1.34,0,6.69,4.02,2.68,0,0,0,1.34,2.68,0,6.69,0,50.86,153.93,2.68,2.68,13.39,0,4.02,2.68,0,0,0
3Month,0.32,0.64,0.32,0,0,0.32,1.28,0.96,0.64,0.32,0.64,0.32,0.32,0,0,0,0,0.32,7.68,0,0,0,1.6,0.32
22Month,0,0,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0,0,0,0,2.19,0,0,0,0,0
