stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,8.56,0,0,0,0,0,0,1.07,0,0,0
21Day,0,0,1.34,0,0,0,0,0,12.05,4.02,0,0,0,0,4.02,0,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,2.68
3Month,0.32,0,1.6,0.32,0,1.92,8.32,6.4,292.11,0.64,2.24,1.28,0.64,6.4,1.6,0,0,0.96,0.64,0.64,0,0.32,0.32,0.32,0.64,2.24,2.24,0.32,0.64,0.96,12.8
22Month,0.55,0.55,1.09,0,0.55,0,1.09,16.95,106.05,3.28,0,0.55,1.09,3.83,1.64,0.55,0.55,0,0,0,0,0,0,0,0,0,0.55,0,0,0,13.67
