stage,Epithelial_cell,Keratinocyte,Mt_rich_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,4.09,4.09,12.26,4.09,0,0,0,0
21Day,0,0,0,0,0,0,1.34,0,0
3Month,0,0,0,0,0,7.04,0,0.32,11.84
