stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,8.17,12.26,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,8.17,12.26,0,0,0,0,32.69,237.01,0,0,0,0,0,0,0,0,0
72hpf,8.56,2.14,13.91,3.21,23.54,0,1.07,0,0,0,0,0,4.28,0,3.21,17.12,3.21,24.61,0,1.07,0,1.07,145.49,56.7,2.14,0,13.91,0,7.49,2.14,0,2.14,0
21Day,20.08,1.34,29.45,0,33.46,0,22.76,0,2.68,0,0,4.02,16.06,1.34,1.34,12.05,9.37,53.54,0,0,8.03,0,46.85,12.05,0,0,14.72,4.02,2.68,4.02,2.68,0,5.35
3Month,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,3.28,3.28,0,0,0,0,0.55,8.75,0.55,15.31,3.28,0,3.28,0,0.55,6.01,3.28,0.55,0.55,1.09,0,0.55,0,0.55,0.55,0,0,0,0,0,0,1.09
