stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,98.07,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,6.42,0,3.21,0,0,1.07,139.07,13.91,1.07,0,2.14,0,7.49,0,0,0,0
21Day,2.68,0,2.68,1.34,8.03,1.34,1.34,0,1.34,1.34,0,1.34,0,5.35,0,0,4.02,87,1.34,0,0,1.34,0,13.39,0,0,0,0
3Month,0,0.32,2.88,0,0,0,1.6,0.64,0,0.64,1.28,0.64,0.96,2.24,0.96,0,0.64,0.64,0,0.96,0.32,0,1.6,12.16,0,0.32,3.2,0.64
22Month,0,0,6.01,0,0,0,8.75,0.55,0,0.55,0.55,0,0,1.64,0,0.55,0.55,2.19,0.55,2.73,0,0,2.19,81.45,2.19,0,0,0
