stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,12.84,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,7.49,0,0,0,18.19,4.28,2.14,0,0,0,2.14,0,0,1.07,1.07,0,0,0,0
21Day,1.34,1.34,0,492.58,1.34,5.35,0,1.34,1.34,0,0,1.34,1.34,0,1.34,0,761.63,1.34,16.06,0,0,12.05,25.43,10.71,8.03,0,1.34,0,9.37,13.39,0,4.02,1.34,1.34,1.34,0,2.68
3Month,0.32,0.32,0.96,56.95,0.32,0,0.32,1.28,3.52,0,0,10.24,5.76,0,4.48,22.08,24.64,3.2,4.48,1.28,0,1.28,59.19,0.64,0,0.32,0.32,0,0.64,1.6,3.2,0,0,0,0,1.6,2.88
22Month,1.64,4.92,3.83,47.01,0,0,0,2.19,9.84,373.37,0,119.17,6.56,1.64,9.84,11.48,19.13,16.4,15.31,0,3.83,3.83,26.79,0.55,1.09,1.64,1.64,2.19,2.19,1.09,4.92,1.09,0,0,2.19,0,4.37
