stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neurosecretory_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,4.02,0,0,6.69,0,0,2.68,1.34,0,0
3Month,0.32,1.92,0,1.92,0.96,0.32,0,0.64,0.32,16.32,0.32,0.32,0.32,0,0.32,1.6
22Month,0,0,0,0,2.19,0.55,0.55,1.09,0,9.29,0,0,1.09,0,0,0
