stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,8.17,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,8.17,817.28,0,0,0,8.17,163.46,0,0,0,204.32,0,0,0,0,0,0,0,0,0
72hpf,24.61,7.49,0,9.63,3.21,17.12,0,0,0,1.07,0,0,0,0,0,0,6.42,19.26,4.28,1023.79,0,10.7,0,75.96,73.82,0,1.07,0,625.83,0,0,8.56,0,1.07,19.26,0,0,0
21Day,107.08,1.34,0,25.43,1.34,17.4,0,0,0,0,0,0,0,1.34,12.05,5.35,2.68,16.06,4.02,849.97,0,10.71,0,33.46,8.03,2.68,1.34,0,261.01,14.72,0,4.02,4.02,10.71,5.35,1.34,0,6.69
3Month,0.64,2.56,0.32,8,0,0,0.64,0.64,0.96,10.88,0.32,0,7.36,1.28,0.64,3.2,0,1.6,6.08,236.76,97.26,9.28,0.32,0.64,0.32,1.28,0.64,0,10.56,0.64,4.48,0.32,0,0,0.96,3.2,0.64,2.24
22Month,0,3.28,0,2.73,0,0,4.37,0,0.55,4.37,0.55,0,16.4,1.09,0,2.19,0.55,0,1.09,199.53,8.75,3.83,0,0.55,0.55,1.09,1.09,1.09,1.09,0,7.11,1.09,0,0,0.55,0,0,1.09
