stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,10.7,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,18.19,1.07,0,0,0,0,1.07,0,0,0,0
21Day,0,0,2.68,6.69,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,0,0,20.08,0,0,0,0,0,1.34,1.34,0,0,0
3Month,0.32,0.64,36.47,6.08,0,0.64,0.64,2.56,8.32,1.6,2.56,8.96,1.92,3.2,0.32,0,0.96,1.6,3.2,0,0,0.64,0.32,6.08,0.32,0,0.64,262.36,1.6
22Month,0,0,6.56,0,0,0,0,0.55,8.2,0,1.64,1.09,0.55,1.09,2.19,0.55,0,0,1.09,0,0.55,0,0.55,8.75,0.55,0,0,0.55,0.55
