stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,12.26,0,0,16.35,0,4.09,8.17,237.01,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,0,1.07,0,4.28,0,0,125.17,24.61,0,0,1.07,0,0,2.14,1.07,0,0,0,0
21Day,2.68,0,1.34,4.02,1.34,0,1.34,0,2.68,4.02,0,4.02,0,18.74,2.68,0,121.81,26.77,0,0,2.68,5.35,2.68,6.69,2.68,2.68,0,0,1.34
3Month,0.64,0.64,5.44,0,0,0.96,3.2,1.92,0.32,0.96,2.24,0,1.28,3.2,0.96,0.32,3.84,0,0.96,0,0,0.32,76.47,1.6,0.32,0,0.32,57.27,0.32
22Month,0,0,1.64,0,0,0,1.09,0,0,0,0,0,0,0,0.55,0,0.55,0.55,0.55,0.55,0,0,14.76,0.55,1.09,0,0,0,0
