stage,Cardiomyocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell
24hpf,0,0,0,0,0,0,0,4.09,4.09,0
72hpf,1.07,0,0,0,0,0,3.21,0,0,0
21Day,1.34,0,0,0,1.34,0,8.03,1.34,0,0
3Month,0,0.32,0.32,0,0,0,0,0,0,0.32
22Month,0,0,0,1.09,0,0.55,0,0,0,0
