stage,Granulocyte,Hepatocyte,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Retinal_cell,T_cell
72hpf,0,0,1.07,0,2.14,1.07,1.07,0
21Day,0,0,0,2.68,1.34,0,0,1.34
22Month,0.55,0.55,0,0,0,0,0,0
