stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,4.09,0,57.21,8.17,0,0,0,0,0,0,0,0
72hpf,0,0,2.14,19.26,3.21,0,0,0,0,0,0,0,0,4.28,0,0,0,0,0,62.05,7.49,1.07,2.14,0,0,3.21,2.14,0,0,0
21Day,0,0,4.02,12.05,5.35,0,0,0,0,0,2.68,1.34,1.34,1.34,0,2.68,0,0,0,22.76,2.68,2.68,0,1.34,0,1.34,1.34,0,0,0
3Month,0.32,0.32,37.11,2.56,0,0.32,0.64,1.6,5.76,2.56,0.32,0.96,3.2,0.32,2.56,1.92,0.64,0.32,1.6,35.83,0,10.24,0,0.96,3.2,1.28,2.56,2.56,79.35,2.24
22Month,0,0.55,27.88,2.19,0,0,0.55,0.55,16.4,2.73,0,3.83,0,0,0,0.55,0,0.55,0,9.84,0.55,7.65,0.55,0,10.39,1.09,0,0,1.09,0
