stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,1.07,0,1.07,0,0,0
21Day,0,0,2.68,0,0,0,0,0,1.34,0,0,5.35,0,1.34,0,1.34,1.34,0,0,0,0,0,0
3Month,0,0,1.92,0,0,0,2.88,0.32,0.32,1.92,0.96,0.32,0.32,0.32,0.32,0.32,0,0,0,0.32,1.28,0.32,0.64
22Month,0.55,0.55,3.83,0.55,2.19,0.55,10.39,1.09,1.09,3.83,0.55,0,0.55,0.55,0,0,0,0,0.55,0,0,0,0.55
