stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,4.09,49.04,4.09,0,0,4.09,8.17,0,0,0,12.26,20.43,16.35,420.9,0,0,93.99,2333.34,0,0,40.86,0,0,0,0,0,0,0,0,0
72hpf,19.26,6.42,11.77,3.21,2.14,1.07,0,0,0,3.21,0,10.7,11.77,3.21,56.7,2.14,0,77.02,311.31,1.07,0,34.23,2.14,0,7.49,0,0,2.14,0,0,0
21Day,32.12,1.34,37.48,0,5.35,13.39,1.34,0,0,14.72,1.34,1.34,9.37,6.69,68.27,1.34,5.35,14.72,89.68,1.34,2.68,10.71,1.34,0,5.35,1.34,1.34,1.34,0,0,1.34
3Month,0,0,1.92,0,0,0.32,0,0,0.96,0,0.96,0.64,0.32,0.32,0.32,0,0,0.32,0,0,0,0,0,4.48,0,0,0,0,0.32,0.64,0
22Month,0,0,0,0,0,0,0.55,0,3.28,0,1.64,0,0,0.55,2.73,0,0,0,0,0,0.55,0,0,2.19,0,0,0,0,0,0,0
