stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,16.35,0,12.26,0,0,0,16.35,4.09,49.04,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,13.91,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,1.07,16.05,13.91,0,0,1.07,0,0,12.84,0,0,0,0
21Day,0,0,0,2.68,13.39,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,6.69,5.35,0,0,0,0,1.34,2.68,0,0,0,0
3Month,0.32,0.32,0.32,114.54,4.48,0.32,0.32,0.32,4.16,7.04,0,29.12,10.56,0.96,8.64,33.91,5.12,8.64,8.64,0.32,2.56,9.28,6.72,0,0.32,2.56,0.64,1.92,30.08,1.28,2.24,3.84,1196.29,5.44
22Month,0,1.64,0,38.27,1.64,0.55,0,0,0.55,7.11,2.19,9.84,2.73,2.19,4.92,1.64,0,10.39,7.65,0,0,0.55,5.47,1.09,1.09,0.55,0,0,34.44,3.83,0,0,3.83,2.73
