stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell
24hpf,8.17,12.26,12.26,4.09,0,0,4.09,0,0,0,4.09,0,20.43,20.43,0,0,8.17,155.28,0,4.09,0,0,0,4.09,0
72hpf,0,1.07,3.21,0,1.07,0,0,0,0,0,1.07,3.21,1.07,2.14,1.07,0,8.56,7.49,0,3.21,1.07,0,1.07,1.07,0
21Day,2.68,0,4.02,0,0,0,0,1.34,0,0,1.34,1.34,0,4.02,0,1.34,0,0,0,2.68,0,0,1.34,1.34,0
3Month,0,0,0.64,0,0,0,0,0.32,0.32,0.64,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,1.09,0,0,0.55,0,5.47,0,1.64,0,0,0,3.83,0,0,0.55,0,0.55,0,0,1.64,0,0,0.55
