stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,269.7,12.26,16.35,0,0,0,0,0,0,0,0,4.09,114.42,0,0,20.43,0,0,0,4.09,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,100.56,0,1.07,3.21,0,0,0,0,1.07,0,0,1.07,33.16,0,2.14,3.21,0,0,0,2.14,8.56,7.49,0,0,2.14,0,0,1.07,1.07,0,0,0
21Day,119.13,0,12.05,1.34,0,0,0,0,1.34,0,1.34,0,52.2,6.69,0,5.35,0,0,0,1.34,1.34,0,0,1.34,0,0,0,0,0,0,0,0
3Month,1.28,1.28,11.2,0,0,1.28,1.6,0,9.6,1.6,0,3.52,69.11,2.24,3.2,3.52,0.96,0,1.6,2.56,1.92,0,0.64,0,0,0.96,0.96,0,0,0.32,0.96,1.92
22Month,0,0.55,5.47,0,0.55,1.09,2.19,0.55,34.99,0,0.55,4.37,11.48,0.55,2.19,2.19,0,1.09,0.55,0.55,0.55,0,0,0,0,0,1.64,0,0,0,0,1.09
