stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,12.26,0,0,0,0,0,4.09,0,16.35,0,0,0,0,8.17,32.69,8.17,0,0,0,4.09,20.43,32.69,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,4.28,0,48.14,0,1.07,0,0,0,0,0,0,0,2.14,7.49,0,2.14,0,0,0,0,31.02,5.35,0,1.07,2.14,0,0,6.42,0,1.07,1.07,0,0,0
21Day,1.34,0,0,12.05,1.34,53.54,0,1.34,1.34,0,0,0,1.34,2.68,0,6.69,14.72,0,1.34,0,0,1.34,0,8.03,2.68,0,0,2.68,0,0,0,2.68,1.34,0,0,0,1.34
3Month,0.64,0,0.96,14.4,0.32,0,0.96,0,6.08,0.32,0,0,45.11,2.56,4.8,5.12,10.24,4.16,1.28,0.96,0.64,4.48,2.24,0,0,0.32,0.64,0,0.64,0.96,0.64,0,0,0,0.32,79.99,0.96
22Month,0,1.64,1.64,3.28,0,0,0.55,0,4.37,1.09,1.64,0,77.08,3.28,9.29,0,0.55,4.92,1.64,0,2.19,0.55,0,0.55,0,0.55,0,0,0.55,0,4.37,0,0,0,0.55,1.09,0.55
