stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,4.09,4.09,0,0,8.17,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,0,2.14,1.07,0,1.07,0,2.14,2.14,0,1.07,0,0,0
21Day,0,1.34,5.35,0,0,0,0,0,0,4.02,0,0,0,2.68,1.34,0,0,0,0,0,0,0,2.68
3Month,0,0.32,2.56,0.32,0.64,0.64,0,1.92,0.64,0.32,1.28,0,0.32,0.32,0.32,0.64,0,0,0,0,0.96,0.32,1.6
22Month,0.55,0,1.09,0,0,2.19,1.09,14.76,0.55,1.09,0.55,0,0,2.73,0,0,0,0,1.09,0,0,0.55,0.55
