stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,32.69,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,2.14,3.21,0,4.28,3.21,1.07,0,0,0,0,0,0,0,0,1.07,6.42,0,104.84,0,0,5.35,29.95,17.12,0,0,376.57,0,0,2.14,0,0,1.07,0,0
21Day,2.68,2.68,0,8.03,2.68,9.37,0,0,0,0,0,0,2.68,2.68,0,8.03,0,248.97,0,0,5.35,29.45,4.02,1.34,0,262.35,2.68,0,2.68,0,4.02,1.34,0,9.37
3Month,0,4.8,0.32,3.52,0.32,0,0.32,0.32,2.56,0,7.36,0.64,0.32,0.64,0.32,0.96,0.64,54.71,29.76,0,3.2,0.32,0,0.32,0,9.92,0.96,4.8,0.32,0,0,0.32,6.08,1.28
22Month,0,13.12,0,3.83,0,0,0,1.09,1.64,16.95,17.49,1.09,0,0,1.09,0.55,1.64,92.38,8.75,0.55,0.55,2.19,0.55,3.28,1.64,10.93,1.09,4.37,3.83,0.55,0,1.64,3.83,0.55
