stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.14,3.21,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,62.91,0,2.68,0,1.34,0,0,1.34,0,0,0,1.34,14.72,0,1.34,0,0,2.68,0,0,0,0,0,1.34,0,0,0,0,0,0,2.68
3Month,0,0.32,0.32,76.47,0,0,0.64,0.64,4.16,2.56,8.32,1.92,0.32,4.48,2.56,2.24,1.92,3.2,0.64,0,2.24,1.6,0.32,0,0.32,0,0.32,1.6,69.75,0.64,0.32,0.32,49.91,1.92
22Month,0,0.55,0.55,98.94,0.55,0,1.64,0,1.09,4.92,47.56,3.28,0.55,3.83,2.73,2.73,4.92,3.28,0,0.55,2.19,1.09,0.55,0,0.55,0.55,0,0.55,5.47,0.55,0,0,0,2.19
